0.200677, 0.0825085, -0.11176, -0.0301828, -0.167852, -0.0644621, -0.118284, -0.119341, 0.159276, 0.1315, 0.275489, 0.03939, -0.0802632, 0.316038, 0.299872, -0.417686, 
0.0223717, 0.552762, 0.845024, -0.14596, 0.0197521, 0.189592, 0.36492, -0.367362, -0.0031384, -0.109002, 0.00731695, -0.256503, 0.375696, -0.105204, -0.215423, 0.171012, 
0.0127743, -0.0911286, -0.14175, 0.0712555, -0.309561, 0.12354, -0.0396469, 0.18046, 0.191658, 0.269071, 0.122741, -0.288941, -0.0342968, 0.542621, 0.408247, 0.0669517, 
0.252013, -0.0339351, 0.282822, -0.223643, 0.183787, -0.0123907, 0.534819, 0.273883, 0.10027, -0.260596, -0.154172, -0.04409, 0.384643, 0.104944, 0.190354, -0.0501747, 
0.100651, 0.130153, 0.132788, -0.0681323, -0.387686, 0.137703, 0.0738911, 0.185872, 0.250541, 0.436534, 0.011025, 0.374503, -0.273665, -0.137834, 0.359767, 0.21322, 
0.091645, 0.0680978, 0.035685, 0.157501, 0.334778, -0.397432, 0.841696, 0.578571, -0.0142332, 0.014643, 0.153544, -0.365012, 0.146262, 0.018228, -0.0348309, -0.027715, 
0.0171113, 0.018902, -0.037249, -0.101219, 0.142032, 0.0746722, -0.272604, -0.0298993, 0.134365, 0.206039, 0.35064, -0.0524469, -0.633105, 0.205851, 0.120907, -0.384417, 
0.0214515, 0.0922255, -0.185303, 0.539504, -0.199731, 0.736208, 0.132895, -0.373256, -0.029623, -0.149593, -0.172904, -0.121925, -0.0973535, 0.0185111, -0.00263539, 0.22725, 
0.0574553, 0.327783, 0.16965, 0.233645, -0.183201, -0.227771, -0.0554591, 0.120951, 0.189278, 0.18623, 0.138039, -0.486061, -0.18337, 0.278879, 0.286081, -0.0700169, 
0.376164, 0.193687, 0.0639207, 0.317196, 0.0961734, 0.612369, -0.310961, -0.239606, 0.0253724, 0.187518, -0.243253, 0.196053, 0.0665821, -0.162147, -0.0103636, -0.0517897, 
-0.068564, -0.0953793, 0.0557577, -0.0109949, -0.0231514, -0.241896, -0.0523038, 0.024658, 0.123553, 0.0530413, 0.185862, 0.175323, 0.126115, -0.223213, 0.659835, 0.000192199, 
0.126543, 0.43719, 0.323095, -0.012176, 0.130791, -0.0933189, 0.0834574, 0.179372, 0.214557, 0.037211, 0.305859, -0.0357258, 0.0336931, 0.0293442, -0.100864, -0.151106, 
0.224995, -0.145127, -0.277805, 0.105455, -0.0157466, -0.160182, 0.0196098, -0.02294, -0.108861, -0.0421332, -0.0281103, 0.575968, 0.252282, 0.851049, -0.116327, -0.519217, 
0.740946, -0.183925, -0.174105, 0.1736, 0.217311, 0.553004, -0.00216653, -0.171735, 0.15805, 0.131881, -0.280576, 0.245022, 0.0948694, -0.176365, -0.189611, 0.265372, 
-0.181654, -0.0652874, -0.263446, 0.258487, -0.190174, -0.296649, -0.0297636, 0.196709, 0.317285, -0.113951, -0.00189012, 0.336031, 0.120921, 1.03111, -0.171461, -0.408399, 
0.698429, 0.241505, -0.0857565, -0.0307504, 0.493378, 0.140911, 0.302125, -0.136251, -0.307837, 0.282897, -0.393099, 0.228134, -0.269306, 0.00995289, 0.059496, -0.0416489, 
-0.186572, -0.0969053, 0.300401, 0.28566, -0.16999, 0.0343041, 0.234846, 0.0655071, -0.0630704, -0.211978, 0.250562, 0.475723, 0.622326, 0.264468, 0.159707, -0.31845, 
0.490777, 0.252816, 0.241309, -0.00272998, 0.483953, -0.110648, 0.104467, 0.069322, -0.20835, -0.235138, -0.136923, 0.240856, -0.302709, 0.139443, 0.124368, -0.275761
