-1.01142, -0.536509, -0.12408, 0.192686, 0.255177, -0.81695, -0.029565, 0.0721786, -0.682356, 0.151737, -1.20605, -1.19653, 0.0840698, -0.704908, -0.88875, -0.531585, 
-0.654499, 0.28641, -0.770105, 0.0991594, 0.248816, -0.238851, -0.017847, -0.219884, 0.134813, -0.136792, 0.0968497, -0.137511, 0.152943, -0.112902, -0.786682, 0.319544, 
-0.235971, -0.215802, -1.03964, -0.621809, 0.288496, -0.684241, -0.672128, 0.247204, -0.550438, 0.0959507, -0.987824, -0.448361, -1.41952, 0.0531676, -1.09625, -0.184344, 
0.405702, 0.247171, 0.230897, -0.210784, -0.141913, -0.192258, 0.243957, -0.291961, 0.0432565, 0.188113, -0.189457, -0.126217, 0.0583857, -0.0861666, -0.140275, -0.736831, 
-0.708796, 0.56526, -0.282334, 0.0946087, -0.584881, -0.0488148, 0.191071, -0.112292, 0.199663, -0.347136, -1.05203, 0.211892, 0.142097, -1.24456, -0.589324, -0.610928, 
-0.320192, 0.624419, -2.01702, -0.740115, -0.601238, 0.372191, -1.19706, -0.596504, -0.550391, -0.0402792, 0.320024, -0.20985, 0.279106, 0.237577, -0.0681374, -0.0948561, 
0.180648, -0.0906357, -0.439211, -1.27524, -0.375396, -0.947667, 0.567076, -1.18751, 0.122557, 0.0222356, 0.254723, 0.268979, -0.74435, -1.22447, 0.159244, 0.247133, 
-0.35754, -1.15468, 0.273753, -0.656379, -0.123266, -0.584807, 0.0618541, -1.4699, 0.341559, -0.767484, 0.0290626, 0.524879, -1.37979, -0.899272, 0.298837, -1.28484, 
-0.310531, -0.765728, -0.969011, -0.744635, 0.628548, -0.0643902, -0.0973016, -0.644416, 0.0922246, -0.629572, -0.0468454, -0.553291, -1.50508, 0.0950711, -0.0973525, 0.108694, 
0.0797721, -0.35848, 0.123053, -0.606674, -0.0526255, -0.162966, -0.227612, 0.209704, -0.524372, -0.325187, 0.106072, -0.465907, 0.158601, -0.570702, -1.29772, 0.182575, 
0.111431, 0.124582, -1.42965, 0.114824, -1.32595, -1.01788, -0.16442, -1.13607, -0.156326, -1.04456, -0.886825, -0.831003, -1.40745, -0.716568, 0.679991, -0.783417, 
-0.78889, -0.634844, -0.227704, 0.317863, -0.941186, 0.399246, -0.147563, -0.14196, -0.258083, -0.149532, -0.0983803, 0.107431, -0.339217, -0.278847, -0.961616, -0.0700077, 
-0.212318, -0.127394, -0.432519, 0.161145, -1.59043, -0.0975486, -1.22579, -0.153125, -0.123061, -0.907935, 0.29299, 0.227279, 0.151567, 0.243975, -0.809025, -1.09057, 
0.143154, -0.786678, -0.138182, -0.469561, -0.139288, -0.356333, -0.0347847, -0.868869, -1.36722, -0.168502, -0.151433, 0.179482, -0.220329, -0.024917, -0.227081, -0.276222, 
0.00105924, 0.246267, -0.770068, -0.259844, -1.62795, -0.034896, -0.0390731, -0.728318, -1.08338, 0.619394, -0.519985, -0.826343, 0.0867238, 0.0913607, -0.972157, -0.920514, 
-1.31383, -1.15171, -0.872511, -1.11391, 0.699269, 0.18944, -1.15157, 0.0831045, -0.601285, -1.17027, 0.174591, -0.894761, -0.336067, -1.22607, -0.843181, -1.04855, 
-0.911498, -1.12579, 0.889158, -0.322096, -0.966557, 0.118806, -0.990533, 0.25613, -0.822822, -0.435871, 0.130569, -0.30197, -0.215329, -0.0132607, -0.121452, -0.142491, 
0.0560879, 0.169598, -0.647517, 0.0197362, 0.0695161, -0.764004, 0.0728562, -0.444947, 0.138259, -0.469683, 0.135821, -0.256356, 0.339502, -0.90676, -1.14352, 0.0598674, 
-0.299353, -0.154815, 0.0760124, 0.195653, -1.01857, -1.13913, -0.620809, -0.368608, 0.109382, 0.194665, 0.107775, -0.0159745, -0.050444, 0.242083, -0.236514, -0.401219, 
-0.0953117, -0.567553, 0.205622, -0.995054, -1.14527, 0.21102, -0.087641, -0.122956, 0.280704, -1.39918, 0.150915, -0.910451, -0.87078, -0.374415, 0.129598, -0.0299175, 
-0.0531164, 0.103066, -0.170709, -0.348271, -0.0541808, 0.169691, 0.248845, -0.842459, -1.12343, -0.262873, -0.599171, -0.912165, 0.0205719, -1.2427, 0.0538533, 0.154602, 
0.168974, -0.244263, -0.176566, 0.220118, 0.142674, 0.113803, -0.208834, -0.127277, 0.0519636, -0.2265, -0.0340774, 0.207663, -0.30393, -0.104135, 0.232297, -1.78181, 
0.20002, -0.969084, -0.781546, 0.26141, -0.397848, 0.144137, -0.0836271, -1.03237, -0.217957, -0.62312, 0.264645, 0.318263, -1.29444, -0.308432, -0.177867, -0.121455, 
-0.00662769, -1.3451, -0.233889, 0.106344, 0.132055, -0.0474535, -0.101373, 0.161343, -0.542395, -1.1815, -0.120149, 0.0221503, 0.217796, 0.176928, 0.231923, 0.243702, 
0.125605, 0.1183, -0.460564, 0.0914476, -0.460362, -1.36031, 0.143501, -0.0279643, 0.12628, -1.29616, -0.219845, -0.555144, 0.507837, -0.747379, -1.16098, 0.0624611, 
-0.954146, -0.0214428, 0.0498934, 0.0214938, 0.048254, -0.604573, -0.433792, -0.0369276, -0.168248, 0.145416, 0.173749, -1.54764, -1.03241, 0.646734, -1.53383, -0.78997, 
-1.20819, -0.71211, 0.0932696, -0.439444, 0.0752146, -0.17682, -0.0509211, -0.126335, -0.0444517, 0.217553, -0.232675, -0.445395, -0.230835, -0.102802, 0.0007499, 0.0608324, 
-1.29584, -0.936363, 0.296791, 0.26925, -0.976093, 0.111901, -0.774716, 0.0560367, -0.434646, 0.279369, 0.0828997, 0.16669, -0.564086, -0.284787, 0.228242, -1.11519
